Компетенция,Источник,Описание,Частота в источнике (%),Количество упоминаний,Категория
SQL,Вакансия,Навык из вакансии: Программист-разработчик (Junior),15,1,53,Техническая
Git,Вакансия,Навык из вакансии: Программист-алгоритмист,7,69,27,Общая
PostgreSQL,Вакансия,Навык из вакансии: Инженер-программист,5,98,21,Техническая
REST API,Вакансия,Навык из вакансии: Инженер-программист,5,41,19,Техническая
Docker,Вакансия,Навык из вакансии: Инженер-программист,5,13,18,Общая
JavaScript,Вакансия,Навык из вакансии: Программист-разработчик (Junior),4,56,16,Общая
Python,Вакансия,Навык из вакансии: Программист,4,56,16,Общая
Linux,Вакансия,Навык из вакансии: Инженер-программист,4,27,15,Общая
PHP,Вакансия,Навык из вакансии: Программист,3,7,13,Общая
HTML,Вакансия,Навык из вакансии: Начинающий Bubble-разработчик,3,7,13,Общая
CSS,Вакансия,Навык из вакансии: Программист (Fullstack),3,42,12,Общая
Agile,Вакансия,Навык из вакансии: Инженер-программист,2,85,10,Общая
React,Вакансия,Навык из вакансии: Web Программист (Full-stack),2,85,10,Общая
Scrum,Вакансия,Навык из вакансии: Инженер-программист,2,56,9,Общая
TypeScript,Вакансия,Навык из вакансии: Cocos Developer Разработчик TypeScript,2,56,9,Общая
Redis,Вакансия,Навык из вакансии: Web-разработчик,2,28,8,Общая
Vue,Вакансия,Навык из вакансии: Программист-разработчик (Junior),1,99,7,Общая
MySQL,Вакансия,Навык из вакансии: Java разработчик с нуля (стажер),1,99,7,Техническая
GitLab,Вакансия,Навык из вакансии: Бэкенд-разработчик (почасовая),1,99,7,Общая
Django,Вакансия,Навык из вакансии: Программист,1,71,6,Общая
Java,Вакансия,Навык из вакансии: Java разработчик с нуля (стажер),1,42,5,Общая
Go,Вакансия,Навык из вакансии: PHP/Go разработчик,1,42,5,Общая
CI/CD,Вакансия,Навык из вакансии: Инженер-программист C# (Middle),1,42,5,Общая
.NET,Вакансия,Навык из вакансии: Инженер-программист,1,14,4,Общая
AI,Вакансия,Навык из вакансии: Программист-алгоритмист,1,14,4,Общая
DevOps,Вакансия,Навык из вакансии: Стажер-разработчик 1С,0,85,3,Общая
Express,Вакансия,Навык из вакансии: Программист,0,85,3,Общая
GitHub,Вакансия,Навык из вакансии: Frontend-разработчик,0,85,3,Общая
MongoDB,Вакансия,Навык из вакансии: Cocos Developer Разработчик TypeScript,0,85,3,Общая
Node.js,Вакансия,Навык из вакансии: Cocos Developer Разработчик TypeScript,0,85,3,Общая
анализ,Профстандарт,Анализ и проектирование информационных систем,25,2,Аналитическая
проектирование,Профстандарт,Анализ и проектирование информационных систем,25,2,Аналитическая
Laravel,Вакансия,Навык из вакансии: Программист,0,57,2,Общая
Angular,Вакансия,Навык из вакансии: Web Программист (Full-stack),0,57,2,Общая
GraphQL,Вакансия,Навык из вакансии: Junior-middle React/NextJS разработчик,0,57,2,Общая
анализ,ФГОС,Способен применять естественнонаучные и общеинженерные знания, методы математического анализа и моделирования в профессиональной деятельности,50,1,Аналитическая
алгоритм,ФГОС,Способен разрабатывать оригинальные алгоритмы и программные средства для решения профессиональных задач,50,1,Техническая
SQL,Профстандарт,Работа с системами управления базами данных (SQL),12,5,1,Техническая
система,Профстандарт,Работа с системами управления базами данных (SQL),12,5,1,Общая
веб,Профстандарт,Применение технологий веб-разработки (HTML, CSS, JavaScript),12,5,1,Общая
облачные технологии,Профстандарт,Облачные технологии (AWS, Azure, Google Cloud),12,5,1,Общая
Microservices,Вакансия,Навык из вакансии: Инженер-программист,0,28,1,Общая
Spring,Вакансия,Навык из вакансии: Java разработчик с нуля (стажер),0,28,1,Общая
Bootstrap,Вакансия,Навык из вакансии: Web Программист (Full-stack),0,28,1,Общая
Rust,Вакансия,Навык из вакансии: Разработчик на Раст / Rust engineer,0,28,1,Общая
GitLab CI,Вакансия,Навык из вакансии: Разработчик автоматизации (Node.js),0,28,1,Общая
SASS,Вакансия,Навык из вакансии: Фронтенд-разработчик,0,28,1,Общая
LESS,Вакансия,Навык из вакансии: Фронтенд-разработчик,0,28,1,Общая
AWS,Вакансия,Навык из вакансии: Системный аналитик,0,28,1,Общая
Azure,Вакансия,Навык из вакансии: Системный аналитик,0,28,1,Общая
Google Cloud,Вакансия,Навык из вакансии: Системный аналитик,0,28,1,Общая
Kubernetes,Вакансия,Навык из вакансии: Архитектор,0,28,1,Общая
